id,id2,q0,q1,q2,q3,q4,q5,q6,q7,q7_14,q13,q14,q15,q16_1,q16_2,q17,q18,q18_24,q21_1,q21_2,q21_3,q22_1,q22_2,q22_3,q24,q25,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q27_1,q27_2,q27_3,q27_4,q27_5,q27_6,q28_1,q28_2,q28_3,q28_4,q28_5,q28_6,q29_1,q29_2,q29_3,q29_4,q29_5,q29_6,q30_1,q30_2,q30_3,q30_4,q30_5,q30_6,q30_7,q31_1,q31_2,q31_3,q31_4,q31_5,q32_1,q32_2,q32_3,q32_4,q32_5,q33_1,q33_2,q33_3,q33_4,q33_5,q34,q34_6,q35,q36,q37_1,q37_2,q39_1,q39_2,q39_3,q39_4,q39_5,q39_6,q39_7,q40_1,q40_2,q40_3,q40_4,q40_5,q41_1,q41_2,q41_3,q42,q43,q44,q45,q46,q47,q48,q49,q50,q51,q52,q53,q54_1,q54_2,q54_3,q54_4,q54_5,q54_6,q54_7,q55,q56,q57,q58,q59,q60,q61,q62,q63,q64_1,q64_2,q64_3,q64_4,q64_5,q65,q66,q67,q68,q69_1,q69_2,q69_3,q69_4,q69_5,q69_6,q69_7,q69_8,q69_9,q69_10,q69_11,q69_12,q70_1,q70_2,q70_3,q71_1,q71_2,q71_3,q71_4,q71_5,q72_1,q72_2,q72_3,q72_4,q72_5,q72_6,q72_7,q72_8,q72_9,q72_10,q73,q74,q75,q76_1,q76_2,q76_3,q76_4,q76_5,q77_1,q77_2,q77_3,q77_4,q77_5,q78_1,q78_2,q78_3,q78_4,q78_5,q79_1,q79_2,q79_2_2,q79_3,q79_3_3,q79_4,q79_4_2,q80_1,q80_1_3,q80_2,q80_2_3,q80_3,q80_3_3,q80_4,q80_4_3,q81_1,q81_2,q81_2_2,q81_3,q81_3_4,q82_1,q82_2,q82_2_3,q82_3,q82_3_3,q82_4,q83_1,q83_2,q83_3,q84_1,q84_2,q84_3,q84_4,q84_5,q84_6,q84_7,q85_1,q85_2,q85_3,q85_4,q85_5,q85_6,q86_1,q86_2,q86_3,q86_4,q86_5,q87_1,q87_2,q87_3,q88,q89_1,q89_2,q89_3,q89_4,q89_5,q89_6,q89_7,q89_8,q89_9,q89_10,q90,q91_1,q91_2,q91_3,q91_4,q91_5,q91_6,q91_7,q91_8,q91_9,q91_10,q92,q93_1,q93_2,q93_3,q93_4,q93_5,q93_6,q93_7,q93_8,q93_9,q93_10,q94,q95,q96,q97,q98,q99,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q116_4,q117,q118,q119,q120,q121,q122,q123,q124,q125,q126,q127,q128,q129,q130_1,q130_2,q131,q132,q133,q134,q135,q136,q137,q138,q140,q141,q142_1,q142_2,q142_3,q142_4,q142_5,q142_6,q143,q144,q145_1,q145_2,q145_3,q145_4,q145_5,q145_6,q146,q147_1,q147_2,q147_3,q147_4,q147_5,q148_1,q148_2,q148_3,q148_4,q148_5,q149_1,q149_2,q149_3,q150_1,q150_2,q150_3,q151_1,q151_2,q151_3,q152,q153,q154,q155,weight
20180333,"0598",0,1,0,1983,6,2,3,10,".",0,,0,1,1,2,19,".",1,3,1.25,1,8,1.666666667,4,4,5,4,5,3,4,5,5,5,5,4,4,3,5,5,5,4,4,4,6,5,3,2,1,4,2,4,4,4,4,2,2,3,2,4,3,2,4,4,2,4,4,3,3,4,4,2,1,".",4,3,3,3,4,5,5,5,4,5,5,0,0,0,1,0,2,3,2,1,1,1,1,2,3,1,3,3,3,3,2,4,2,2,2,4,2,2,0,,2,2,1,1,4,0,"許多經驗與特質無法數據化",1,1,1,1,1,1,2,0,".",5,5,4,5,4,4,5,5,5,5,3,4,5,5,3,5,6,4,4,3,3,5,5,4,5,5,5,4,3,4,7,2,5,3,5,5,4,4,4,3,5,3,4,4,4,5,5,5,1,2,"先放走再觀察應變",1,".",,".",1,".",1,".",1,".",,".",0,,".",3,".",0,,".",2,".",0,1,1,1,2,3,2,3,2,3,2,3,2,2,3,3,2,5,5,5,3,3,5,3,4,3,0,0,1,0,1,0,0,0,0,".",2,0,1,0,0,1,0,0,0,0,".",1,0,0,0,0,0,0,0,0,0,".",0,,3,2,2,2,2,1,3,3,3,3,3,3,3,3,3,5,1,0,0,,,".",1,1,7,,,,,,,,,,,,,2,5,2,1,3,0,1,1,0,,,,,,,".",1,1,1,0,0,1,0,".",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,1,1,1,1,1.11
20180334,"0584",0,1,1,1983,1,2,4,5,".",1,1,0,2,7,2,19,".",4,0,4,5,9,5.75,1,2,6,6,6,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,3,1,2,4,5,6,0,0,0,0,0,1,1,1,1,6,1,1,1,1,1,6,6,1,1,6,1,1,4,".",5,2,1,1,1,1,1,4,1,1,5,0,1,0,1,0,3,3,3,1,1,1,1,1,2,2,3,2,4,2,1,3,3,3,3,3,3,3,1,1,2,3,4,3,3,0,"無",2,2,2,3,3,3,3,0,".",3,3,2,3,5,4,3,2,3,3,3,3,4,4,3,2,3,4,3,5,3,3,3,4,4,2,3,4,4,2,3,6,10,3,3,4,4,3,2,3,5,4,4,3,2,4,4,4,1,1,".",1,".",,".",1,".",1,".",2,".",,".",1,1,".",,".",1,2,".",,".",,2,0,0,3,2,3,3,4,4,3,2,2,1,2,3,3,2,2,2,2,2,4,4,4,2,1,0,0,0,0,0,0,0,0,".",2,0,0,0,1,0,0,0,0,0,".",2,0,0,0,0,0,0,1,0,0,".",1,4,2,3,4,3,14,2,1,1,1,2,2,1,2,3,3,3,5,1,,1,3,".",3,3,3,2,2,2,2,2,2,2,2,2,2,1,0,5,1,3,2,6,,,,1,2,0,0,1,0,0,".",1,2,0,0,1,0,0,".",3,3,2,2,3,3,4,4,3,3,2,2,3,3,4,4,4,4,4,1,1,1,1,1,.94
20180336,"0536",0,1,1,1988,6,2,3,4,".",0,,0,1,3,1,18,".",2,3,2.25,2,3,2.25,4,6,5,4,3,5,4,4,5,5,4,4,4,4,4,5,4,4,3,3,6,5,4,3,1,2,5,5,5,5,6,6,5,4,2,4,4,3,4,3,3,4,4,4,4,4,4,4,1,".",2,2,3,3,4,4,4,4,3,4,4,1,1,1,0,0,2,4,4,1,1,1,1,2,3,3,2,3,3,2,1,2,2,2,2,4,2,2,0,,1,1,2,2,3,0,"無法精準判斷各人特質",1,1,1,1,2,2,4,0,".",5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,8,10,6,3,3,3,4,4,3,3,4,3,4,5,3,4,4,4,1,1,".",1,".",,".",2,".",,".",,".",3,"明知卻依然違返規定，從嚴執法",0,,".",2,".",0,,".",2,".",0,1,1,1,3,5,4,6,3,5,5,2,1,1,2,4,4,5,5,5,5,5,3,2,4,4,1,1,0,0,0,0,1,0,0,".",2,0,1,0,0,0,0,0,0,0,".",2,1,1,0,0,0,0,0,0,0,".",1,5,4,4,3,2,2,6,2,3,2,4,2,2,1,1,2,7,1,0,1,2,1,".",1,1,1,1,1,2,2,2,2,1,1,1,2,1,0,2,8,2,0,2,,1,1,0,,,,,,,".",0,,,,,,,".",5,4,4,4,4,4,4,3,3,4,3,4,5,5,5,5,5,4,4,4,2,,,,1.02
20180337,"1084",0,1,0,1990,6,2,4,6,".",0,,0,2,6,1,4,".",1,5,1.416666667,4,4,4.333333333,4,2,6,4,4,2,5,6,5,5,4,6,5,4,5,5,5,5,4,4,6,5,3,2,1,4,0,2,4,0,3,0,1,5,3,3,5,5,4,3,3,4,4,4,4,4,4,4,5,".",2,2,3,4,4,5,4,5,3,4,5,0,0,1,0,0,3,4,4,1,1,1,1,2,1,1,3,4,3,2,1,4,4,4,4,5,4,4,0,,2,2,4,3,1,1,"公正",3,2,3,3,3,4,4,1,"測量自動化",4,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,3,4,4,4,3,4,4,4,3,4,4,5,4,4,5,9,4,5,5,6,4,4,3,4,3,4,4,6,5,5,3,5,1,1,".",2,".",,".",2,".",,".",,".",1,".",0,,".",3,".",0,,".",1,".",0,1,0,1,2,3,3,3,1,4,5,3,3,2,3,4,4,4,4,5,2,4,4,2,4,4,1,0,0,0,0,0,1,0,0,".",2,1,0,0,0,0,0,0,0,0,".",1,0,0,0,0,0,0,0,0,0,".",0,,4,4,4,3,1,2,3,1,2,1,1,2,1,1,1,4,1,0,0,,,".",3,2,1,1,1,2,2,1,2,1,1,1,1,1,0,4,8,3,1,3,0,1,1,0,,,,,,,".",0,,,,,,,".",7,4,5,5,4,4,5,5,3,4,4,4,5,5,5,5,5,4,4,3,1,1,1,1,.99
20180338,"0547",0,1,1,1985,6,2,3,1,".",0,,0,2,7,1,13,".",3,11,3.916666667,9,0,9,4,3,4,4,4,3,5,5,4,4,4,3,3,3,4,4,4,3,3,2,3,2,5,4,1,6,0,0,1,0,1,0,0,4,2,5,4,3,6,4,3,3,3,5,5,3,5,4,1,".",5,3,3,4,2,4,4,5,4,4,3,0,1,0,1,0,2,3,2,1,1,2,3,2,3,3,2,3,3,2,2,3,2,1,4,4,1,3,0,,2,1,2,2,3,0,"並非所有條件都能量化",2,2,1,2,1,2,3,0,".",4,4,3,4,4,4,5,4,5,3,2,3,4,4,2,4,6,3,3,4,5,5,5,5,5,5,5,6,3,3,1,6,5,5,5,5,3,5,5,5,5,5,5,4,1,4,4,4,2,,".",,".",1,".",3,"僅放過這位孕婦，並鄭重告知全村的人下不為例",2,".",2,".",,".",0,,".",3,".",0,,".",1,".",1,2,2,3,3,3,3,3,3,3,3,4,2,1,3,4,2,4,3,4,2,3,4,3,3,4,1,1,1,0,0,0,1,0,0,".",2,0,1,0,0,0,0,0,0,0,".",2,0,1,0,0,0,0,0,0,0,".",1,2,4,3,2,2,1,10,2,97,2,2,1,95,1,1,97,7,1,1,,97,,".",3,1,1,1,1,1,2,2,2,1,1,1,2,2,0,4,5,3,1,3,0,1,1,1,1,0,1,0,0,0,".",0,,,,,,,".",7,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,3,3,3,1,1,1,1,.94
20180339,"0658",0,1,1,1987,1,2,3,1,".",0,,0,2,6,1,19,".",2,6,2.5,3,4,3.333333333,1,2,5,3,5,3,3,5,5,4,4,4,4,3,4,4,4,4,3,2,2,3,4,5,1,6,0,3,5,0,3,3,2,5,2,5,3,4,4,1,1,4,4,4,2,4,3,3,2,".",3,2,2,1,4,5,4,5,4,4,4,0,0,0,1,0,3,4,3,1,1,1,1,2,3,3,3,3,3,2,1,4,2,2,2,5,2,2,0,,2,1,3,2,3,0,"人與人之間的互動 無法以電腦判斷取代",3,3,3,3,3,2,4,0,".",4,4,4,4,4,2,4,2,4,3,1,3,3,3,4,4,4,2,2,2,3,5,2,2,2,6,3,5,2,1,2,6,7,4,6,5,3,2,2,2,6,2,2,5,5,2,4,6,2,,".",,".",2,"為了自己性命不受威脅",1,".",2,".",2,".",,".",1,1,".",,".",0,,".",2,".",0,4,4,4,4,4,3,4,3,6,3,3,2,2,4,4,4,4,4,5,4,4,5,2,4,4,1,1,1,0,0,0,1,0,0,".",3,1,1,0,0,1,0,0,0,0,".",3,1,1,0,0,0,0,0,0,0,".",1,10,3,3,3,3,1,2,2,4,2,1,2,2,1,1,4,4,1,0,0,,,".",95,95,1,1,1,1,3,1,3,2,3,1,1,2,0,4,9,3,0,2,,1,1,0,,,,,,,".",0,,,,,,,".",6,3,3,4,3,3,4,4,3,4,2,5,6,5,6,6,6,2,4,2,1,1,2,,.94
20180340,"0731",0,1,0,1992,1,1,3,1,".",1,1,0,2,6,1,18,".",2,4,2.333333333,2,8,2.666666667,4,4,5,4,4,3,5,5,5,4,4,4,4,4,5,5,4,5,3,3,1,6,3,4,5,2,4,4,3,6,5,7,8,3,3,6,3,3,3,2,1,5,5,3,4,5,2,1,1,".",2,1,2,5,3,4,3,5,3,4,4,0,0,1,1,0,1,2,2,1,1,1,3,2,1,1,3,2,2,3,2,1,1,2,1,3,1,1,0,,2,2,2,1,4,0,"人類有無限可能",1,1,1,1,1,1,3,0,".",4,4,4,5,5,5,6,4,4,4,3,4,4,5,4,5,5,4,4,4,4,5,5,5,5,6,5,6,6,4,2,7,4,5,6,6,3,3,5,4,5,4,5,6,3,6,5,4,2,,".",,".",1,".",1,".",2,".",1,".",,".",0,,".",3,".",0,,".",2,".",0,3,4,2,5,6,6,6,4,6,6,4,4,3,4,4,4,3,5,5,4,3,4,1,2,4,1,1,1,0,1,0,0,0,0,".",4,1,1,0,0,0,0,0,0,0,".",2,1,1,0,0,0,0,0,0,0,".",1,5,4,4,4,3,2,8,1,1,1,2,1,1,2,2,1,2,1,98,0,,,".",1,3,7,,,,,,,,,,,,,2,6,3,0,2,,1,1,1,2,1,0,0,0,0,".",1,2,1,0,0,0,0,".",9,4,5,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,3,1,1,1,1,.99
20180341,"0597",0,1,0,1977,6,2,4,3,".",0,,0,2,6,1,18,".",3,6,3.5,4,3,4.25,4,4,5,4,4,4,5,6,4,5,5,5,5,5,4,4,5,5,5,4,6,1,3,2,4,5,0,7,1,1,6,1,5,2,1,6,1,4,1,1,1,6,6,1,2,6,2,1,5,".",5,2,1,2,2,1,2,1,1,2,5,0,0,1,1,0,4,3,4,1,1,1,3,2,2,3,3,4,3,3,1,4,5,2,3,4,3,3,0,,2,3,3,2,3,0,"缺乏彈性、很制式",2,2,1,3,2,3,2,1,"固定、重復、重複判斷型工作",6,5,4,6,5,5,5,6,5,5,5,5,2,3,4,4,6,4,6,6,5,6,5,5,6,5,5,5,6,6,2,10,9,6,5,6,5,6,4,3,5,3,6,6,1,5,5,1,2,,".",,".",1,".",2,".",,".",,".",1,".",1,1,".",,".",0,,".",2,".",1,4,3,3,6,6,6,6,6,6,5,4,4,3,4,4,4,6,6,6,5,5,4,2,1,4,1,1,0,1,1,1,1,0,0,".",3,0,1,0,1,1,0,1,0,0,".",3,0,1,0,1,1,0,1,0,0,".",0,,4,2,4,4,2,1,1,3,2,1,1,1,1,2,1,3,4,0,1,98,,".",2,3,1,1,2,1,1,1,2,2,1,2,2,1,0,2,2,3,2,3,0,1,1,1,3,1,1,1,1,0,".",0,,,,,,,".",10,1,1,1,1,2,1,1,1,1,1,4,4,5,4,3,5,4,4,1,2,,,,.99
20180345,"1071",0,1,1,1976,1,2,3,7,".",0,,0,1,5,1,19,".",7,0,7,10,0,10,4,4,5,3,5,5,4,5,3,6,4,5,6,6,6,6,6,6,6,6,1,3,2,4,5,6,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,".",3,3,1,1,2,5,5,5,4,4,5,0,0,0,1,0,3,3,3,2,1,1,1,2,1,1,1,3,3,3,2,3,5,5,5,5,3,3,0,,2,1,3,3,4,1,"客觀",3,3,2,3,3,3,3,1,"化繁為簡，工作簡化",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,4,6,6,6,6,6,6,4,6,6,1,2,3,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,1,".",1,".",,".",1,".",1,".",1,".",,".",1,1,".",,".",1,1,".",,".",,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,6,4,4,4,1,1,1,0,0,0,0,0,0,".",4,1,1,0,0,0,1,0,0,1,".",4,1,1,0,0,0,0,0,0,0,".",1,3,4,4,4,4,1,2,1,1,1,1,1,1,1,1,1,6,1,0,0,,,".",1,1,5,,,,,,,,,,,,,1,7,4,0,2,,1,1,0,,,,,,,".",0,,,,,,,".",5,3,3,3,3,3,6,6,3,3,3,4,4,4,5,5,5,4,4,4,1,1,1,1,1.02
20180346,"0914",0,1,0,1964,1,2,3,2,".",0,,0,2,9,2,19,".",2,10,2.833333333,25,0,25,1,4,5,5,5,5,5,6,5,6,6,5,5,5,5,5,5,5,5,4,4,6,5,3,2,1,6,6,7,7,5,8,7,2,1,5,1,2,3,1,1,6,6,3,2,5,1,1,2,".",4,3,2,2,4,4,4,4,4,4,4,0,1,0,0,0,3,3,3,1,1,1,3,1,2,3,2,3,3,3,2,3,4,2,4,4,2,2,0,,2,1,2,3,3,0,"智識的評價,知識可以造假",1,1,1,1,1,2,4,1,"檔案管理",4,4,4,4,4,4,5,4,5,4,5,4,4,4,4,5,5,4,4,4,4,5,4,4,4,5,5,5,4,4,6,7,2,4,4,5,4,4,4,4,4,4,4,5,4,5,5,4,2,,".",,".",1,".",2,".",,".",,".",2,".",1,1,".",,".",0,,".",2,".",0,2,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,4,4,4,3,3,3,2,4,4,1,1,1,0,1,1,0,0,1,".",2,0,1,0,0,0,0,0,0,0,".",1,0,0,0,0,0,0,0,0,0,".",1,2,2,2,1,1,1,2,98,98,98,98,98,98,1,3,98,98,98,0,0,,,".",98,98,1,98,98,1,98,98,98,98,98,98,98,1,30,98,7,3,1,3,1,1,1,1,2,1,1,1,1,1,".",0,,,,,,,".",8,5,5,5,5,5,4,3,3,3,3,4,3,3,3,3,3,4,4,3,1,1,1,1,.99
20180347,"0962",0,1,0,1985,1,2,4,2,".",0,,0,2,6,1,15,".",2,7,2.583333333,2,7,2.583333333,4,4,5,2,3,4,4,5,5,4,4,4,4,5,5,5,5,5,4,4,5,6,2,4,3,1,1,3,2,0,3,1,2,5,2,3,3,1,3,3,2,5,4,5,3,4,4,3,5,".",4,3,3,4,4,4,3,2,3,3,4,0,0,1,1,0,3,4,3,1,1,2,1,2,3,3,2,3,4,2,2,2,4,2,4,4,2,3,0,,2,2,4,3,2,0,"有些特質是書面資訊無法呈現的",2,1,3,1,3,3,4,1,"文書處理",5,5,4,4,4,4,4,3,4,4,4,4,3,3,4,4,5,3,3,4,3,5,2,4,4,5,4,5,4,4,2,6,7,4,5,5,4,4,5,3,5,4,4,4,2,5,4,5,1,1,".",2,".",,".",1,".",1,".",1,".",,".",0,,".",2,".",1,2,".",,".",,3,3,3,4,4,2,4,4,5,4,3,4,2,3,3,2,4,4,4,4,4,5,2,4,3,1,1,0,0,1,1,1,0,0,".",2,1,1,0,0,0,0,0,0,0,".",2,1,1,0,0,0,0,0,0,0,".",0,,2,2,3,2,2,10,3,3,3,3,3,2,3,3,1,5,1,0,0,,,".",1,1,1,98,98,98,98,98,98,98,98,98,98,2,0,4,7,3,0,2,,1,2,1,2,1,0,0,0,0,".",0,,,,,,,".",5,4,4,4,2,3,2,2,2,2,3,3,3,3,5,5,4,4,3,2,1,1,1,1,.99
20180350,"0682",0,1,1,1992,6,2,4,2,".",0,,0,2,6,1,2,".",1,7,1.583333333,3,1,3.083333333,4,3,5,4,5,4,6,6,4,5,4,4,4,3,3,4,4,4,4,3,6,5,4,3,1,2,0,2,2,7,2,1,0,4,1,2,4,4,6,4,3,3,3,4,5,2,5,5,1,".",2,2,3,3,5,5,4,6,4,5,5,0,0,1,0,0,3,3,3,1,1,2,2,2,2,2,3,3,3,3,1,3,4,4,5,5,3,4,0,,1,2,3,2,3,0,"除非是能讀心的機器",2,1,2,3,3,3,4,1,"可由系統進行演算的部分",4,4,4,4,4,4,5,5,5,4,4,4,4,4,2,4,5,4,4,4,4,6,3,4,4,6,4,6,3,1,6,2,5,4,6,3,1,3,2,2,6,4,4,6,1,6,5,4,1,1,".",2,".",,".",2,".",,".",,".",2,".",0,,".",2,".",0,,".",2,".",0,3,2,3,2,2,6,2,2,2,2,4,3,2,4,4,4,4,4,5,3,3,3,1,3,4,1,1,1,1,1,0,1,0,0,".",3,0,1,0,1,0,0,0,0,0,".",2,1,1,1,0,0,0,1,0,0,".",1,16,4,4,4,4,7,10,2,1,2,1,1,2,1,1,2,4,1,1,,2,1,".",2,1,1,1,1,2,2,2,1,1,1,1,1,0,5,4,7,3,1,2,,1,1,1,1,1,0,0,0,0,".",0,,,,,,,".",10,4,6,5,4,5,5,3,3,5,4,5,6,6,5,6,5,3,3,1,1,1,1,2,.94
20180352,"0508",0,1,1,1985,1,2,3,6,".",1,1,0,2,6,1,21,".",2,10,2.833333333,5,6,5.5,4,4,4,3,4,4,3,5,3,4,4,4,5,4,4,4,4,5,4,4,3,4,5,6,1,2,8,5,7,7,2,5,7,3,1,5,3,3,4,2,1,4,3,1,1,3,1,1,4,".",3,1,1,2,4,5,3,1,3,3,5,0,1,1,1,0,4,4,3,1,1,1,1,2,1,1,3,4,4,3,1,4,4,2,2,4,4,4,0,,2,2,3,2,4,0,"性格的複雜程度難以分析",2,3,1,2,3,3,5,1,"資料統計及蒐集、基礎分析",4,5,4,4,5,4,4,5,4,5,5,5,4,3,3,4,4,3,3,4,3,4,4,4,4,3,4,3,4,4,2,4,3,3,3,4,4,4,3,3,4,3,4,5,2,5,6,2,2,,".",,".",1,".",3,"不引產，但生下的小孩需強制送養不孕家庭。",2,".",1,".",,".",1,1,".",,".",1,2,".",,".",,2,2,0,3,5,3,4,6,6,1,3,2,2,3,4,2,4,4,5,4,5,6,2,2,3,1,0,1,0,1,1,1,0,0,".",2,1,0,0,0,0,0,0,0,0,".",1,0,0,0,0,0,0,0,0,0,".",0,,4,4,2,2,1,2,3,3,3,4,4,2,3,4,3,5,2,0,0,,,".",95,95,4,,,,,,,,,,,0,0,4,6,2,2,3,1,1,1,1,3,1,1,0,1,1,".",0,,,,,,,".",8,2,1,2,1,1,2,4,4,1,1,4,5,3,5,6,6,3,4,3,2,,,,.94
20180353,"1076",0,1,1,1992,6,3,3,2,".",0,,0,2,6,1,19,".",3,4,3.333333333,3,4,3.333333333,1,1,6,4,5,3,5,6,5,6,5,4,5,5,5,5,5,6,5,5,3,4,6,5,1,2,4,0,6,0,6,2,5,5,2,5,5,4,5,5,4,4,4,5,5,2,5,5,1,".",2,4,5,5,5,5,5,3,4,5,5,0,1,0,0,0,3,3,2,3,1,1,3,2,1,3,2,2,2,2,2,4,2,2,3,4,1,1,0,,2,2,2,2,2,0,"個人經歷並非能完全使用數據化呈現",1,1,3,3,3,1,4,0,".",5,5,5,5,5,4,6,5,6,5,4,4,5,5,1,5,5,5,4,4,5,5,5,5,6,4,6,5,2,4,2,5,1,4,3,3,4,3,4,2,5,4,4,5,5,5,4,5,1,1,".",2,".",,".",3,"讓她分期繳罰款",2,".",1,".",,".",1,1,".",,".",0,,".",2,".",0,1,1,1,2,5,1,4,2,2,2,2,2,1,4,4,4,5,5,5,4,4,6,2,4,4,1,1,0,0,1,0,0,0,0,".",1,0,0,0,0,0,0,0,0,0,".",1,0,0,0,0,0,0,0,0,0,".",1,1,4,2,1,3,1,2,1,3,3,1,1,2,1,1,1,6,1,0,0,,,".",1,1,7,,,,,,,,,,,,,4,7,3,0,2,,1,2,0,,,,,,,".",0,,,,,,,".",6,4,5,3,4,4,4,3,3,5,5,4,3,3,4,4,4,3,4,3,1,1,2,,.94
20180354,"0999",0,1,1,1993,6,2,3,2,".",0,,0,2,6,1,1,".",3,7,3.583333333,3,7,3.583333333,4,3,5,4,5,3,5,6,5,5,3,5,5,3,5,5,5,5,5,4,2,1,5,6,4,3,4,6,6,2,5,5,4,4,2,5,5,4,4,4,2,3,3,5,5,3,4,4,1,".",2,2,4,4,4,3,3,4,4,4,4,0,0,1,0,0,3,3,3,3,1,1,1,2,1,3,2,3,3,3,2,4,4,2,2,4,2,2,0,,2,2,3,3,2,1,"較公平",3,3,2,2,2,4,4,1,"稅額試算",5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,5,4,5,5,5,5,2,7,6,3,4,3,2,2,4,4,4,4,4,4,4,4,4,5,1,1,".",1,".",,".",1,".",1,".",1,".",,".",1,1,".",,".",1,1,".",,".",,2,2,3,5,4,4,4,5,5,5,3,3,3,3,3,3,4,4,4,3,4,5,3,3,3,1,0,0,0,0,0,0,0,0,".",3,1,0,0,0,0,0,0,0,0,".",3,0,1,0,0,0,0,0,0,0,".",1,2,4,3,3,2,2,1,2,2,2,2,2,2,1,1,1,4,1,1,,2,2,".",2,1,1,3,3,3,3,3,3,3,3,3,3,0,0,2,4,2,1,3,0,1,1,1,2,0,1,0,0,0,".",1,2,1,0,1,0,0,".",5,4,5,4,4,5,5,4,5,5,5,5,5,5,4,5,5,4,4,3,1,1,1,1,.94
20180355,"0481",0,1,0,1977,6,2,3,3,".",0,,0,2,6,1,19,".",14,0,14,14,0,14,2,6,5,3,4,5,5,5,5,6,5,5,5,1,4,5,5,2,1,2,6,5,3,4,2,1,1,6,4,1,1,0,1,5,1,5,5,4,5,3,3,3,3,5,5,6,5,4,1,".",1,2,3,3,5,4,5,4,5,5,4,0,0,0,1,0,3,2,2,1,1,3,3,2,1,1,2,4,3,2,1,1,2,1,3,4,1,1,0,,2,1,2,2,3,0,"申請人特質及能力是否符合職缺需求，難以電腦程式標準化",1,1,1,2,3,3,4,1,"編製財務報告",5,4,1,4,3,3,5,3,4,2,2,2,3,3,3,4,5,3,2,2,4,6,4,4,6,6,5,6,1,4,8,2,6,4,6,5,1,4,5,3,4,3,3,5,4,2,5,3,1,1,".",1,".",,".",1,".",2,".",1,".",,".",1,1,".",,".",0,,".",2,".",0,0,0,0,2,2,4,2,1,1,1,2,4,1,4,4,2,3,3,5,3,2,5,2,3,4,1,0,1,0,1,0,0,0,0,".",1,0,0,0,0,0,0,0,0,0,".",1,0,0,0,0,0,0,0,0,0,".",0,,4,1,1,1,1,10,2,97,2,4,1,95,1,1,2,6,98,0,0,,,".",95,95,1,2,2,1,3,1,3,1,3,1,1,0,50,3,5,3,1,5,1,1,1,0,,,,,,,".",0,,,,,,,".",5,3,4,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,1,2,,,.99
20180356,"0497",0,1,1,1966,4,2,4,3,".",0,,0,2,6,1,2,".",3,0,3,3,0,3,4,4,5,4,4,3,4,5,5,5,4,4,5,4,5,5,5,5,3,4,6,4,3,2,1,5,0,1,1,0,0,0,1,2,1,5,2,2,4,2,1,3,3,1,4,3,3,1,5,".",2,2,1,1,2,2,1,2,1,2,3,1,0,1,0,0,4,4,4,1,1,2,1,2,3,1,2,3,4,1,1,5,5,5,5,5,5,5,0,,2,2,3,3,3,0,"失去自主性",2,2,2,2,2,3,3,1,"建檔",2,4,3,4,4,3,4,4,4,3,2,2,3,3,4,1,4,1,1,1,1,4,1,1,1,4,1,4,1,1,2,6,5,1,4,4,1,1,1,1,4,1,1,5,1,5,5,5,1,1,".",1,".",,".",1,".",1,".",1,".",,".",0,,".",3,".",0,,".",2,".",0,3,4,3,5,5,6,6,4,6,4,2,2,2,2,2,2,4,4,4,4,4,6,2,1,2,0,0,0,0,1,0,0,0,0,".",2,0,1,0,0,0,0,0,0,0,".",2,0,1,0,0,0,0,0,0,0,".",0,,4,4,2,2,2,1,3,3,3,3,3,2,3,3,1,5,4,1,,1,1,".",1,1,7,,,,,,,,,,,,,1,0,1,1,5,0,1,2,0,,,,,,,".",0,,,,,,,".",10,1,1,1,1,1,2,2,2,2,2,1,2,2,5,5,5,1,2,1,1,1,1,1,.94
